game_id,date,player,rank,substitute_player,winner,score,color,num_of_cities,num_of_settlement,num_of_roads,num_of_dev_cards,buy_dev_card_first,builds_city_first,builds_settlement_first,num_of_harbor,which_resources_first,cashier,time_in_min,is_extension,start_time,longest_road,largest_army,first_brick_harbor,first_ore_harbor,first_grain_harbor,first_wool_harbor,first_lumber_harbor,first_3to1_harbor,num_of_brick_harbor,num_of_grain_harbor,num_of_3to1_harbor,num_of_lumber_harbor,num_of_ore_harbor,num_of_wool_harbor,initial_dices,dessert_placement
18.0,2022-03-26,A,4.0,,B,8.0,White,1.0,4.0,9.0,0.0,0.0,0.0,0.0,1.0,"['Lumber', 'Grain', 'Wool']",0.0,55.0,1.0,22:40:00,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,
18.0,2022-03-26,M,5.0,,B,6.0,Orange,3.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,"['Lumber', 'Brick', 'Grain']",0.0,55.0,1.0,22:40:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,
19.0,2022-03-27,Cc,1.0,,A,5.0,Red,2.0,1.0,4.0,0.0,0.0,1.0,0.0,2.0,"['Ore', 'Ore', 'Brick']",1.0,55.0,1.0,02:20:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,,
19.0,2022-03-27,E,2.0,,A,6.0,Green,2.0,2.0,4.0,1.0,0.0,0.0,0.0,1.0,"['Grain', 'Grain', 'Lumber']",0.0,55.0,1.0,02:20:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,
19.0,2022-03-27,B,3.0,,A,7.0,Blue,3.0,1.0,7.0,1.0,0.0,0.0,0.0,0.0,"['Ore', 'Grain', 'Brick']",0.0,55.0,1.0,02:20:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
19.0,2022-03-27,A,4.0,,A,10.0,White,2.0,4.0,9.0,2.0,1.0,0.0,1.0,1.0,"['Lumber', 'Lumber', 'Brick']",0.0,55.0,1.0,02:20:00,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,
19.0,2022-03-27,M,5.0,,A,6.0,Orange,3.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,"['Grain', 'Ore', 'Brick']",0.0,55.0,1.0,02:20:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
20.0,2022-03-27,A,1.0,,Cc,6.0,White,2.0,2.0,4.0,3.0,0.0,0.0,1.0,1.0,"['Grain', 'Brick']",0.0,70.0,1.0,16:50:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,
20.0,2022-03-27,M,2.0,,Cc,6.0,Orange,1.0,4.0,7.0,0.0,0.0,0.0,0.0,2.0,"['Lumber', 'Lumber', 'Grain']",0.0,70.0,1.0,16:50:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,,
20.0,2022-03-27,Cc,3.0,,Cc,10.0,Green,2.0,3.0,8.0,3.0,0.0,0.0,0.0,1.0,"['Wool', 'Wool', 'Brick']",1.0,70.0,1.0,16:50:00,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,
20.0,2022-03-27,E,4.0,,Cc,6.0,Brown,2.0,2.0,2.0,2.0,1.0,1.0,0.0,2.0,"['Lumber', 'Wool', 'Grain']",0.0,70.0,1.0,16:50:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,,
20.0,2022-03-27,B,5.0,,Cc,6.0,Blue,3.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,"['Grain', 'Lumber', 'Wool']",0.0,70.0,1.0,16:50:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
21.0,2022-03-28,B,1.0,,A,8.0,Blue,4.0,0.0,9.0,0.0,0.0,1.0,0.0,0.0,"['Grain', 'Grain', 'Lumber']",0.0,60.0,0.0,21:50:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
21.0,2022-03-28,E,2.0,,A,8.0,Red,0.0,5.0,12.0,2.0,1.0,0.0,1.0,1.0,"['Ore', 'Wool', 'Brick']",0.0,60.0,0.0,21:50:00,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,
21.0,2022-03-28,A,3.0,,A,10.0,White,4.0,1.0,6.0,4.0,0.0,0.0,0.0,2.0,"['Brick', 'Brick', 'Lumber']",1.0,60.0,0.0,21:50:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,
22.0,2022-03-28,A,1.0,,A,10.0,Red,3.0,3.0,11.0,1.0,0.0,1.0,0.0,1.0,"['Lumber', 'Grain', 'Brick']",0.0,45.0,0.0,23:50:00,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,
